Event,Duration(ms)
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,1
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,1
AnchorCreation,1
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
AnchorCreation,0
